Code,Copert_V_name,EFbase
LDVG_27,Light Commercial Vehicles_Petrol_N1-III_Euro 6 2021+,0.0117
LDVD_1,Light Commercial Vehicles_Diesel_N1-I_Conventional,0.0117
LDVD_2,Light Commercial Vehicles_Diesel_N1-I_Euro 1,0.0117
LDVD_3,Light Commercial Vehicles_Diesel_N1-I_Euro 2,0.0117
LDVD_4,Light Commercial Vehicles_Diesel_N1-I_Euro 3,0.0117
LDVD_5,Light Commercial Vehicles_Diesel_N1-I_Euro 4,0.0117
LDVD_6,Light Commercial Vehicles_Diesel_N1-I_Euro 5,0.0117
LDVD_7,Light Commercial Vehicles_Diesel_N1-I_Euro 6 up to 2016,0.0117
LDVD_8,Light Commercial Vehicles_Diesel_N1-I_Euro 6 2017-2019,0.0117
LDVD_9,Light Commercial Vehicles_Diesel_N1-I_Euro 6 2020+,0.0117
LDVD_10,Light Commercial Vehicles_Diesel_N1-II_Conventional,0.0117
LDVD_11,Light Commercial Vehicles_Diesel_N1-II_Euro 1,0.0117
LDVD_12,Light Commercial Vehicles_Diesel_N1-II_Euro 2,0.0117
LDVD_13,Light Commercial Vehicles_Diesel_N1-II_Euro 3,0.0117
LDVD_14,Light Commercial Vehicles_Diesel_N1-II_Euro 4,0.0117
LDVD_15,Light Commercial Vehicles_Diesel_N1-II_Euro 5,0.0117
LDVD_16,Light Commercial Vehicles_Diesel_N1-II_Euro 6 up to 2017,0.0117
LDVD_17,Light Commercial Vehicles_Diesel_N1-II_Euro 6 2018-2020,0.0117
LDVD_18,Light Commercial Vehicles_Diesel_N1-II_Euro 6 2021+,0.0117
LDVD_19,Light Commercial Vehicles_Diesel_N1-III_Conventional,0.0117
LDVD_20,Light Commercial Vehicles_Diesel_N1-III_Euro 1,0.0117
LDVD_21,Light Commercial Vehicles_Diesel_N1-III_Euro 2,0.0117
LDVD_22,Light Commercial Vehicles_Diesel_N1-III_Euro 3,0.0117
LDVD_23,Light Commercial Vehicles_Diesel_N1-III_Euro 4,0.0117
LDVD_24,Light Commercial Vehicles_Diesel_N1-III_Euro 5,0.0117
LDVD_25,Light Commercial Vehicles_Diesel_N1-III_Euro 6 up to 2017,0.0117
LDVD_26,Light Commercial Vehicles_Diesel_N1-III_Euro 6 2018-2020,0.0117
LDVD_27,Light Commercial Vehicles_Diesel_N1-III_Euro 6 2021+,0.0117
HDVG_1,Heavy Duty Trucks_Petrol_>3.5 t_Conventional,0.03275
HDVD_1,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Conventional,0.03275
HDVD_2,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Euro I,0.03275
HDVD_3,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Euro II,0.03275
HDVD_4,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Euro III,0.03275
HDVD_5,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Euro IV,0.03275
HDVD_6,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Euro V,0.03275
HDVD_7,Heavy Duty Trucks_Diesel_Rigid <=7.5 t_Euro VI,0.03275
HDVD_8,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Conventional,0.03275
HDVD_9,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Euro I,0.03275
HDVD_10,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Euro II,0.03275
HDVD_11,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Euro III,0.03275
HDVD_12,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Euro IV,0.03275
HDVD_13,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Euro V,0.03275
HDVD_14,Heavy Duty Trucks_Diesel_Rigid 7.5 - 12 t_Euro VI,0.03275
HDVD_15,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Conventional,0.03275
HDVD_16,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Euro I,0.03275
HDVD_17,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Euro II,0.03275
HDVD_18,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Euro III,0.03275
HDVD_19,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Euro IV,0.03275
HDVD_20,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Euro V,0.03275
HDVD_21,Heavy Duty Trucks_Diesel_Rigid 12 - 14 t_Euro VI,0.03275
HDVD_22,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Conventional,0.03275
HDVD_23,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Euro I,0.03275
HDVD_24,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Euro II,0.03275
HDVD_25,Heavy Duty Trucks_Diesel_Rigid 14 - 20 t_Euro III,0.03275
